Jason|Steinberg|jsteinberg@ycp.edu|password|900000000|false
Travis|Wetzel|twetzel1@ycp.edu|password|900000001|false
Dwight|Schrute|dschrute@ycp.edu|rainn|900000002|false
Pam|Beesly|pbeesly@ycp.edu|jenna|900000003|false
Jim|Halpert|jhalpert@ycp.edu|john|900000004|false
Kevin|Malone|kmalone@ycp.edu|brian|900000005|false
Angela|Martin|amartin@ycp.edu|angela|900000006|false
Oscar|Martinez|omartinez@ycp.edu|oscar|900000007|false
Meredith|Palmer|mpalmer@ycp.edu|kate|900000008|false
Creed|Bratton|cbratton@ycp.edu|creed|900000009|false
Darryl|Philbin|dphilbin@ycp.edu|craig|900000010|false
Phyllis|Vance|pvance1@ycp.edu|phyllis|900000011|false
Stanley|Hudson|shudson@ycp.edu|leslie|900000012|false
Andy|Bernard|abernard@ycp.edu|narddog|900000013|false
Ryan|Howard|rhoward@ycp.edu|bj|900000014|false
Kelly|Kapoor|kkapoor@ycp.edu|mindy|900000015|false
Michael|Scott|mscott@ycp.edu|steve|910000000|true
Toby|Flenderson|tflenderson@ycp.edu|paul|910000001|true
Jan|Levinson|jlevinson@ycp.edu|melora|910000002|true
Robert|California|lizardking@ycp.edu|james|910000003|true
David|Wallace|dwallace@ycp.edu|andy|910000004|true
